Table 1 Composite Consumer Price Index (Base September 1985 = 100),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Table 1 Composite Consumer Price Index (Base: Year 2024 = 100),,,,,,,,,,,,,,,,,,,,,,
,,All Items Index,,,,,All Items less Farm Produce,,,,,Food ,,,,,All Items less Farm Produce and Energy,,,,,
,,Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),
,Weights,100,,,,,73.41474,,,,,27.97892,,,,,66.99535,,,,,
2025,2025-01-12 00:00:00,110.68,102.92820367975021,10.680000000000007,24.47934910392557,30.881495103561804,110.7,102.58393350660627,10.700000000000003,21.92765550320803,24.731571804364933,110.33,103.1693097746528,10.329999999999998,26.07587479771773,36.09156128152901,110.87,102.66453320579392,10.870000000000005,22.59124992827124,25.531817585393043,2025-01-12 00:00:00
,Feb,112.93923,104.69929325544757,2.0412269606071334,23.18024448416243,30.091499739581764,113.116378,104.2873129300328,2.182816621499555,22.05597101402641,24.489448616690495,112.176425,104.94841594782675,1.6735475392005696,23.505387828846366,34.739677860673055,113.661447,104.43609800959625,2.517765851898602,23.006670471930704,25.328381229404215,Feb
,Mar,117.338528,106.6063215552062,3.895278903530695,24.227977587917636,29.308777184488065,117.849365,106.19756635432624,4.184174815074087,24.14824481523381,24.39144072436173,114.617561,106.65721867712823,2.1761577800326677,21.788558722863357,33.103389940774605,117.900298,106.36537570615951,3.729365683686936,24.434390604768907,25.20342657225676,Mar
,Apr,119.52,108.51513613152225,1.8591267822961015,23.70849105898094,28.462333645240562,120.670503,108.17664557465567,2.3938508281313062,24.50327101314889,24.27005584973476,116.98,108.36643421580486,2.0611492509424494,21.261232666756854,31.4334545879274,119.474286,108.25243288692555,1.3350161337166497,23.386119749291964,24.91432079566907,Apr
,May,121.35,110.40424403373912,1.531124497991982,22.972368090366558,27.55132987216986,121.820202,110.09392275891894,0.9527589356282107,23.28373304337856,24.024993982487345,119.536856,110.10503273930566,2.1857206360061525,21.14361561284987,29.800045368966096,120.788534,110.0866716650677,1.1000258248038364,22.283240367777225,24.513478048073736,May
,June,123.390735,112.27342009685123,1.6816934487021058,22.216694250789686,26.575966496699508,123.249483,111.97547928478889,1.1732709160997814,22.428228700530852,23.69329091511578,123.42437,111.9579686137,3.252146768859305,21.973929812037895,28.284536069190153,123.75723,111.9989007692677,2.457763085360412,22.762265470588147,24.13925526538398,June
,July,125.85,114.15607768474621,1.9930710356818935,21.879047839929356,25.64695524994356,124.63,113.80495451281506,1.1200996275172912,21.38147101266638,23.289230088611035,127.27,113.92292175438878,3.1157785127848,22.74019656425081,26.97410580449946,124.96,113.82991124482167,0.9718785722660357,21.33467251111702,23.634609965955008,July
,August,126.78649,115.9261078396374,0.7441319030591984,20.124245420218173,24.659173455615544,126.12,115.56419882436171,1.1955387948327143,20.103913012541312,22.767449309412527,129.366544,115.85780210682638,1.6473198711401125,21.8737693165684,25.748015209295545,126.743876,115.614739056392,1.4275576184379162,20.334908265750926,23.037325401914828,August
